blast2go_go_id,blast2go_go_name
P:GO:0006420,P:arginyl-tRNA aminoacylation
P:GO:0006426,P:glycyl-tRNA aminoacylation
F:GO:0004820,F:glycine-tRNA ligase activity
F:GO:0005524,F:ATP binding
C:GO:0005737,C:cytoplasm
P:GO:0006426,P:glycyl-tRNA aminoacylation
F:GO:0005515,F:protein binding
P:GO:0006139,P:nucleobase-containing compound metabolic process
P:GO:0006974,P:cellular response to DNA damage stimulus
F:GO:0016787,F:hydrolase activity
P:GO:0008610,P:lipid biosynthetic process
C:GO:0016020,C:membrane
P:GO:0016051,P:carbohydrate biosynthetic process
F:GO:0016747,"F:transferase activity, transferring acyl groups other than amino-acyl groups"
P:GO:0044249,P:cellular biosynthetic process
P:GO:0044255,P:cellular lipid metabolic process
C:GO:0071944,C:cell periphery
P:GO:1901137,P:carbohydrate derivative biosynthetic process
P:GO:1903509,P:liposaccharide metabolic process
,
C:GO:0005887,C:integral component of plasma membrane
F:GO:0022857,F:transmembrane transporter activity
P:GO:0072531,P:pyrimidine-containing compound transmembrane transport
P:GO:1990397,P:queuosine salvage
,
,
F:GO:0005515,F:protein binding
C:GO:0005886,C:plasma membrane
F:GO:0015079,F:potassium ion transmembrane transporter activity
P:GO:0071805,P:potassium ion transmembrane transport
F:GO:0003723,F:RNA binding
C:GO:0005829,C:cytosol
P:GO:0006355,"P:regulation of transcription, DNA-templated"
F:GO:0009383,F:rRNA (cytosine-C5-)-methyltransferase activity
P:GO:0070475,P:rRNA base methylation
F:GO:0004479,F:methionyl-tRNA formyltransferase activity
C:GO:0005829,C:cytosol
P:GO:0006413,P:translational initiation
P:GO:0022898,P:regulation of transmembrane transporter activity
P:GO:0071951,P:conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
P:GO:0006412,P:translation
P:GO:0018206,P:peptidyl-methionine modification
P:GO:0031365,P:N-terminal protein amino acid modification
F:GO:0042586,F:peptide deformylase activity
P:GO:0043686,P:co-translational protein modification
F:GO:0046872,F:metal ion binding
,
F:GO:0005515,F:protein binding
P:GO:0030420,P:establishment of competence for transformation
F:GO:0000049,F:tRNA binding
P:GO:0002949,P:tRNA threonylcarbamoyladenosine modification
F:GO:0003725,F:double-stranded RNA binding
F:GO:0005524,F:ATP binding
C:GO:0005737,C:cytoplasm
P:GO:0006450,P:regulation of translational fidelity
F:GO:0061710,F:L-threonylcarbamoyladenylate synthase
F:GO:0003960,F:NADPH:quinone reductase activity
F:GO:0005515,F:protein binding
C:GO:0005829,C:cytosol
F:GO:0008270,F:zinc ion binding
F:GO:0017091,F:AU-rich element binding
F:GO:0032440,F:2-alkenal reductase [NAD(P)] activity
P:GO:0034599,P:cellular response to oxidative stress
P:GO:0042206,P:halogenated hydrocarbon catabolic process
F:GO:0043168,F:anion binding
C:GO:0043231,C:intracellular membrane-bounded organelle
F:GO:0050661,F:NADP binding
P:GO:0055114,P:oxidation-reduction process
F:GO:0004109,F:coproporphyrinogen oxidase activity
C:GO:0005829,C:cytosol
P:GO:0019353,P:protoporphyrinogen IX biosynthetic process from glutamate
F:GO:0042803,F:protein homodimerization activity
F:GO:0046872,F:metal ion binding
P:GO:0055114,P:oxidation-reduction process
F:GO:0004764,F:shikimate 3-dehydrogenase (NADP+) activity
C:GO:0005829,C:cytosol
P:GO:0009073,P:aromatic amino acid family biosynthetic process
P:GO:0009423,P:chorismate biosynthetic process
P:GO:0019632,P:shikimate metabolic process
F:GO:0050661,F:NADP binding
P:GO:0055114,P:oxidation-reduction process
,
P:GO:0000413,P:protein peptidyl-prolyl isomerization
F:GO:0003755,F:peptidyl-prolyl cis-trans isomerase activity
C:GO:0005886,C:plasma membrane
P:GO:0006457,P:protein folding
C:GO:0009279,C:cell outer membrane
P:GO:0015031,P:protein transport
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0016853,F:isomerase activity
,
F:GO:0005310,F:dicarboxylic acid transmembrane transporter activity
P:GO:0006821,P:chloride transport
P:GO:0006835,P:dicarboxylic acid transport
C:GO:0009536,C:plastid
F:GO:0015103,F:inorganic anion transmembrane transporter activity
F:GO:0015238,F:drug transmembrane transporter activity
F:GO:0015291,F:secondary active transmembrane transporter activity
C:GO:0016021,C:integral component of membrane
C:GO:0031090,C:organelle membrane
C:GO:0031982,C:vesicle
C:GO:0044446,C:intracellular organelle part
P:GO:0050789,P:regulation of biological process
P:GO:0065008,P:regulation of biological quality
P:GO:0070633,P:transepithelial transport
P:GO:0071310,P:cellular response to organic substance
C:GO:0098590,C:plasma membrane region
P:GO:0098656,P:anion transmembrane transport
P:GO:1901701,P:cellular response to oxygen-containing compound
P:GO:0006950,P:response to stress
P:GO:0009628,P:response to abiotic stimulus
P:GO:0015879,P:carnitine transport
C:GO:0016020,C:membrane
F:GO:0022857,F:transmembrane transporter activity
F:GO:0005488,F:binding
F:GO:0008484,F:sulfuric ester hydrolase activity
P:GO:0009966,P:regulation of signal transduction
C:GO:0012505,C:endomembrane system
P:GO:0030203,P:glycosaminoglycan metabolic process
C:GO:0043231,C:intracellular membrane-bounded organelle
P:GO:0044237,P:cellular metabolic process
C:GO:0044444,C:cytoplasmic part
F:GO:0003700,F:DNA-binding transcription factor activity
F:GO:0005488,F:binding
P:GO:0009893,P:positive regulation of metabolic process
P:GO:0018130,P:heterocycle biosynthetic process
P:GO:0019438,P:aromatic compound biosynthetic process
P:GO:0031326,P:regulation of cellular biosynthetic process
P:GO:0044271,P:cellular nitrogen compound biosynthetic process
P:GO:0048522,P:positive regulation of cellular process
P:GO:0051171,P:regulation of nitrogen compound metabolic process
P:GO:0060255,P:regulation of macromolecule metabolic process
P:GO:0080090,P:regulation of primary metabolic process
P:GO:1901362,P:organic cyclic compound biosynthetic process
,
P:GO:0000160,P:phosphorelay signal transduction system
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
F:GO:0003824,F:catalytic activity
F:GO:0005515,F:protein binding
C:GO:0005737,C:cytoplasm
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0009405,P:pathogenesis
P:GO:1900233,P:positive regulation of single-species biofilm formation on inanimate substrate
P:GO:0000162,P:tryptophan biosynthetic process
F:GO:0004834,F:tryptophan synthase activity
P:GO:0000162,P:tryptophan biosynthetic process
F:GO:0004834,F:tryptophan synthase activity
C:GO:0005737,C:cytoplasm
P:GO:0000162,P:tryptophan biosynthetic process
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
C:GO:0032993,C:protein-DNA complex
F:GO:0043565,F:sequence-specific DNA binding
P:GO:2000284,P:positive regulation of cellular amino acid biosynthetic process
F:GO:0000166,F:nucleotide binding
,
P:GO:0006810,P:transport
F:GO:0022857,F:transmembrane transporter activity
F:GO:0004536,F:deoxyribonuclease activity
F:GO:0016740,F:transferase activity
P:GO:0019538,P:protein metabolic process
P:GO:0044260,P:cellular macromolecule metabolic process
C:GO:0097679,C:other organism cytoplasm
,
C:GO:0005886,C:plasma membrane
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0016740,F:transferase activity
C:GO:0005886,C:plasma membrane
C:GO:0030288,C:outer membrane-bounded periplasmic space
,
C:GO:0005886,C:plasma membrane
C:GO:0016020,C:membrane
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
F:GO:0043565,F:sequence-specific DNA binding
,
,
P:GO:0008652,P:cellular amino acid biosynthetic process
P:GO:0009628,P:response to abiotic stimulus
P:GO:0010033,P:response to organic substance
F:GO:0016874,F:ligase activity
F:GO:0036094,F:small molecule binding
C:GO:0044464,C:cell part
P:GO:1901605,P:alpha-amino acid metabolic process
,
P:GO:0006388,"P:tRNA splicing, via endonucleolytic cleavage and ligation"
F:GO:0016773,"F:phosphotransferase activity, alcohol group as acceptor"
,
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0009890,P:negative regulation of biosynthetic process
P:GO:0010604,P:positive regulation of macromolecule metabolic process
P:GO:0031325,P:positive regulation of cellular metabolic process
F:GO:0043565,F:sequence-specific DNA binding
F:GO:0044212,F:transcription regulatory region DNA binding
P:GO:0051173,P:positive regulation of nitrogen compound metabolic process
F:GO:0008270,F:zinc ion binding
F:GO:0008800,F:beta-lactamase activity
F:GO:0016787,F:hydrolase activity
P:GO:0017001,P:antibiotic catabolic process
C:GO:0042597,C:periplasmic space
P:GO:0046677,P:response to antibiotic
F:GO:0046872,F:metal ion binding
,
F:GO:0004601,F:peroxidase activity
C:GO:0005829,C:cytosol
P:GO:0006972,P:hyperosmotic response
P:GO:0033194,P:response to hydroperoxide
F:GO:0051920,F:peroxiredoxin activity
,
,
,
,
,
F:GO:0000166,F:nucleotide binding
F:GO:0004713,F:protein tyrosine kinase activity
C:GO:0005829,C:cytosol
F:GO:0008253,F:5'-nucleotidase activity
P:GO:0016311,P:dephosphorylation
P:GO:0018108,P:peptidyl-tyrosine phosphorylation
F:GO:0046872,F:metal ion binding
F:GO:0004089,F:carbonate dehydratase activity
C:GO:0005747,C:mitochondrial respiratory chain complex I
C:GO:0005829,C:cytosol
F:GO:0008270,F:zinc ion binding
C:GO:0009507,C:chloroplast
P:GO:0009651,P:response to salt stress
P:GO:0009735,P:response to cytokinin
P:GO:0009853,P:photorespiration
P:GO:0009901,P:anther dehiscence
F:GO:0016289,F:CoA hydrolase activity
F:GO:0042802,F:identical protein binding
P:GO:0070207,P:protein homotrimerization
P:GO:2000377,P:regulation of reactive oxygen species metabolic process
F:GO:0004222,F:metalloendopeptidase activity
F:GO:0005488,F:binding
C:GO:0005829,C:cytosol
P:GO:0006260,P:DNA replication
P:GO:0006465,P:signal peptide processing
C:GO:0009570,C:chloroplast stroma
C:GO:0031975,C:envelope
C:GO:0044429,C:mitochondrial part
P:GO:0046686,P:response to cadmium ion
C:GO:0048046,C:apoplast
P:GO:0050794,P:regulation of cellular process
C:GO:0070013,C:intracellular organelle lumen
,
F:GO:0003824,F:catalytic activity
C:GO:0005886,C:plasma membrane
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0046872,F:metal ion binding
F:GO:0051536,F:iron-sulfur cluster binding
F:GO:0051539,"F:4 iron, 4 sulfur cluster binding"
,
F:GO:0005509,F:calcium ion binding
F:GO:0005515,F:protein binding
C:GO:0005783,C:endoplasmic reticulum
C:GO:0005788,C:endoplasmic reticulum lumen
P:GO:0006687,P:glycosphingolipid metabolic process
F:GO:0016491,F:oxidoreductase activity
P:GO:0018158,P:protein oxidation
F:GO:0042803,F:protein homodimerization activity
P:GO:0043687,P:post-translational protein modification
F:GO:0046872,F:metal ion binding
P:GO:0055114,P:oxidation-reduction process
F:GO:0120147,F:Formylglycine-generating oxidase activity
F:GO:1903135,F:cupric ion binding
,
C:GO:0005887,C:integral component of plasma membrane
F:GO:0008559,F:xenobiotic transmembrane transporting ATPase activity
F:GO:0042802,F:identical protein binding
P:GO:0042891,P:antibiotic transport
F:GO:0042895,F:antibiotic transmembrane transporter activity
P:GO:0046618,P:drug export
P:GO:0046677,P:response to antibiotic
C:GO:1990196,C:MacAB-TolC complex
F:GO:0004674,F:protein serine/threonine kinase activity
C:GO:0005618,C:cell wall
P:GO:0007165,P:signal transduction
P:GO:0008360,P:regulation of cell shape
P:GO:0009252,P:peptidoglycan biosynthetic process
P:GO:0009847,P:spore germination
F:GO:0010698,F:acetyltransferase activator activity
C:GO:0016020,C:membrane
F:GO:0030145,F:manganese ion binding
P:GO:0032091,P:negative regulation of protein binding
F:GO:0042802,F:identical protein binding
P:GO:0043085,P:positive regulation of catalytic activity
P:GO:0043086,P:negative regulation of catalytic activity
P:GO:0043388,P:positive regulation of DNA binding
P:GO:0045717,P:negative regulation of fatty acid biosynthetic process
P:GO:0045967,P:negative regulation of growth rate
P:GO:0046777,P:protein autophosphorylation
P:GO:0051302,P:regulation of cell division
P:GO:0052572,P:response to host immune response
P:GO:0071224,P:cellular response to peptidoglycan
F:GO:0097367,F:carbohydrate derivative binding
F:GO:0004721,F:phosphoprotein phosphatase activity
C:GO:0005886,C:plasma membrane
P:GO:0009987,P:cellular process
C:GO:0016021,C:integral component of membrane
P:GO:0043086,P:negative regulation of catalytic activity
F:GO:0046872,F:metal ion binding
,
,
F:GO:0005488,F:binding
C:GO:0005886,C:plasma membrane
P:GO:0006811,P:ion transport
C:GO:0016021,C:integral component of membrane
C:GO:0019867,C:outer membrane
C:GO:0030312,C:external encapsulating structure
P:GO:0044403,P:symbiont process
P:GO:0050896,P:response to stimulus
P:GO:0055085,P:transmembrane transport
,
,
,
,
,
,
C:GO:0005576,C:extracellular region
F:GO:0042802,F:identical protein binding
,
,
,
,
F:GO:0005524,F:ATP binding
C:GO:0005829,C:cytosol
P:GO:0009408,P:response to heat
P:GO:0019538,P:protein metabolic process
F:GO:0042623,"F:ATPase activity, coupled"
F:GO:0042802,F:identical protein binding
F:GO:0000166,F:nucleotide binding
P:GO:0007015,P:actin filament organization
F:GO:0016874,F:ligase activity
P:GO:0018262,P:isopeptide cross-linking
C:GO:0030430,C:host cell cytoplasm
F:GO:0046872,F:metal ion binding
,
F:GO:0004518,F:nuclease activity
P:GO:0009405,P:pathogenesis
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0016787,F:hydrolase activity
P:GO:0090305,P:nucleic acid phosphodiester bond hydrolysis
F:GO:0090729,F:toxin activity
P:GO:0097264,P:self proteolysis
,
F:GO:0000166,F:nucleotide binding
F:GO:0005515,F:protein binding
C:GO:0005886,C:plasma membrane
P:GO:0007015,P:actin filament organization
F:GO:0016874,F:ligase activity
P:GO:0018262,P:isopeptide cross-linking
C:GO:0030425,C:dendrite
C:GO:0030430,C:host cell cytoplasm
P:GO:0043624,P:cellular protein complex disassembly
C:GO:0045202,C:synapse
F:GO:0046872,F:metal ion binding
P:GO:0048518,P:positive regulation of biological process
P:GO:0050794,P:regulation of cellular process
P:GO:0051049,P:regulation of transport
P:GO:0051704,P:multi-organism process
,
,
,
,
,
,
F:GO:0004089,F:carbonate dehydratase activity
F:GO:0008270,F:zinc ion binding
P:GO:0009440,P:cyanate catabolic process
C:GO:0009526,C:plastid envelope
C:GO:0009579,C:thylakoid
C:GO:0016020,C:membrane
F:GO:0042802,F:identical protein binding
C:GO:0044434,C:chloroplast part
P:GO:0050789,P:regulation of biological process
P:GO:0098542,P:defense response to other organism
C:GO:0000323,C:lytic vacuole
C:GO:0012505,C:endomembrane system
F:GO:0015556,F:C4-dicarboxylate transmembrane transporter activity
P:GO:0015740,P:C4-dicarboxylate transport
C:GO:0031090,C:organelle membrane
C:GO:0044425,C:membrane part
C:GO:0044446,C:intracellular organelle part
P:GO:1905039,P:carboxylic acid transmembrane transport
,
C:GO:0044424,C:intracellular part
C:GO:0070469,C:respirasome
F:GO:0004129,F:cytochrome-c oxidase activity
F:GO:0005515,F:protein binding
C:GO:0005751,C:mitochondrial respiratory chain complex IV
P:GO:0006123,"P:mitochondrial electron transport, cytochrome c to oxygen"
P:GO:0015990,P:electron transport coupled proton transport
F:GO:0003674,F:molecular_function
F:GO:0005507,F:copper ion binding
C:GO:0005886,C:plasma membrane
P:GO:0008535,P:respiratory chain complex IV assembly
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0016491,F:oxidoreductase activity
C:GO:0045277,C:respiratory chain complex IV
P:GO:0045333,P:cellular respiration
,
F:GO:0005515,F:protein binding
C:GO:0005739,C:mitochondrion
P:GO:0006091,P:generation of precursor metabolites and energy
P:GO:0008535,P:respiratory chain complex IV assembly
C:GO:0016020,C:membrane
P:GO:0046034,P:ATP metabolic process
P:GO:0055114,P:oxidation-reduction process
,
F:GO:0003674,F:molecular_function
F:GO:0004129,F:cytochrome-c oxidase activity
C:GO:0005739,C:mitochondrion
C:GO:0005743,C:mitochondrial inner membrane
C:GO:0005886,C:plasma membrane
P:GO:0006783,P:heme biosynthetic process
P:GO:0006784,P:heme a biosynthetic process
P:GO:0008535,P:respiratory chain complex IV assembly
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0016491,F:oxidoreductase activity
F:GO:0016627,"F:oxidoreductase activity, acting on the CH-CH group of donors"
F:GO:0016653,"F:oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor"
P:GO:0022900,P:electron transport chain
P:GO:0055114,P:oxidation-reduction process
P:GO:1902600,P:proton transmembrane transport
C:GO:0005886,C:plasma membrane
F:GO:0008495,F:protoheme IX farnesyltransferase activity
C:GO:0016021,C:integral component of membrane
P:GO:0045333,P:cellular respiration
P:GO:0048034,P:heme O biosynthetic process
P:GO:0001654,P:eye development
F:GO:0005507,F:copper ion binding
F:GO:0005515,F:protein binding
P:GO:0006091,P:generation of precursor metabolites and energy
P:GO:0009793,P:embryo development ending in seed dormancy
F:GO:0015035,F:protein disulfide oxidoreductase activity
C:GO:0030016,C:myofibril
C:GO:0031305,C:integral component of mitochondrial inner membrane
P:GO:0033617,P:mitochondrial respiratory chain complex IV assembly
P:GO:0050896,P:response to stimulus
P:GO:0055070,P:copper ion homeostasis
P:GO:0055114,P:oxidation-reduction process
F:GO:0016747,"F:transferase activity, transferring acyl groups other than amino-acyl groups"
F:GO:0003677,F:DNA binding
P:GO:0006631,P:fatty acid metabolic process
P:GO:0006725,P:cellular aromatic compound metabolic process
P:GO:0006807,P:nitrogen compound metabolic process
C:GO:0009536,C:plastid
F:GO:0016616,"F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
P:GO:0042180,P:cellular ketone metabolic process
P:GO:0044248,P:cellular catabolic process
F:GO:0048037,F:cofactor binding
P:GO:0051186,P:cofactor metabolic process
P:GO:1901360,P:organic cyclic compound metabolic process
P:GO:1901575,P:organic substance catabolic process
F:GO:0003824,F:catalytic activity
C:GO:0043231,C:intracellular membrane-bounded organelle
P:GO:0044237,P:cellular metabolic process
C:GO:0044444,C:cytoplasmic part
P:GO:0071704,P:organic substance metabolic process
F:GO:0005515,F:protein binding
C:GO:0005886,C:plasma membrane
F:GO:0015138,F:fumarate transmembrane transporter activity
F:GO:0015141,F:succinate transmembrane transporter activity
F:GO:0015366,F:malate:proton symporter activity
P:GO:0015741,P:fumarate transport
C:GO:0016021,C:integral component of membrane
P:GO:0070778,P:L-aspartate transmembrane transport
P:GO:0071422,P:succinate transmembrane transport
P:GO:0071423,P:malate transmembrane transport
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0006974,P:cellular response to DNA damage stimulus
F:GO:0043565,F:sequence-specific DNA binding
P:GO:0045892,"P:negative regulation of transcription, DNA-templated"
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
C:GO:0005622,C:intracellular
P:GO:0019836,P:hemolysis by symbiont of host erythrocytes
F:GO:0030169,F:low-density lipoprotein particle binding
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0009890,P:negative regulation of biosynthetic process
P:GO:0010604,P:positive regulation of macromolecule metabolic process
P:GO:0031325,P:positive regulation of cellular metabolic process
F:GO:0043565,F:sequence-specific DNA binding
F:GO:0044212,F:transcription regulatory region DNA binding
P:GO:0051173,P:positive regulation of nitrogen compound metabolic process
,
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0009432,P:SOS response
,
,
C:GO:0005829,C:cytosol
F:GO:0005302,F:L-tyrosine transmembrane transporter activity
C:GO:0005887,C:integral component of plasma membrane
P:GO:0006974,P:cellular response to DNA damage stimulus
F:GO:0009977,F:proton motive force dependent protein transmembrane transporter activity
F:GO:0015185,F:gamma-aminobutyric acid transmembrane transporter activity
F:GO:0015192,F:L-phenylalanine transmembrane transporter activity
F:GO:0015196,F:L-tryptophan transmembrane transporter activity
P:GO:0015812,P:gamma-aminobutyric acid transport
P:GO:0015823,P:phenylalanine transport
P:GO:0015827,P:tryptophan transport
P:GO:0015828,P:tyrosine transport
P:GO:0019483,P:beta-alanine biosynthetic process
F:GO:0042802,F:identical protein binding
F:GO:0046982,F:protein heterodimerization activity
P:GO:0051260,P:protein homooligomerization
P:GO:0055085,P:transmembrane transport
F:GO:0000062,F:fatty-acyl-CoA binding
F:GO:0004491,F:methylmalonate-semialdehyde dehydrogenase (acylating) activity
C:GO:0005654,C:nucleoplasm
C:GO:0005759,C:mitochondrial matrix
P:GO:0006210,P:thymine catabolic process
P:GO:0006574,P:valine catabolic process
F:GO:0016790,F:thiolester hydrolase activity
F:GO:0018478,F:malonate-semialdehyde dehydrogenase (acetylating) activity
P:GO:0019483,P:beta-alanine biosynthetic process
P:GO:0019484,P:beta-alanine catabolic process
P:GO:0055114,P:oxidation-reduction process
P:GO:0019483,P:beta-alanine biosynthetic process
F:GO:0004015,F:adenosylmethionine-8-amino-7-oxononanoate transaminase activity
P:GO:0009063,P:cellular amino acid catabolic process
P:GO:0009064,P:glutamine family amino acid metabolic process
P:GO:0009102,P:biotin biosynthetic process
F:GO:0016223,F:beta-alanine-pyruvate transaminase activity
P:GO:0019483,P:beta-alanine biosynthetic process
F:GO:0030170,F:pyridoxal phosphate binding
P:GO:0042221,P:response to chemical
C:GO:0043231,C:intracellular membrane-bounded organelle
P:GO:0043648,P:dicarboxylic acid metabolic process
P:GO:0044262,P:cellular carbohydrate metabolic process
C:GO:0044444,C:cytoplasmic part
P:GO:0048731,P:system development
P:GO:0048868,P:pollen tube development
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0009896,P:positive regulation of catabolic process
C:GO:0005622,C:intracellular
F:GO:0008270,F:zinc ion binding
F:GO:0008892,F:guanine deaminase activity
F:GO:0018756,F:ammeline aminohydrolase activity
P:GO:0046098,P:guanine metabolic process
,
F:GO:0016787,F:hydrolase activity
C:GO:0005886,C:plasma membrane
P:GO:0008643,P:carbohydrate transport
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0022857,F:transmembrane transporter activity
P:GO:0055085,P:transmembrane transport
C:GO:0005886,C:plasma membrane
P:GO:0008643,P:carbohydrate transport
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0022857,F:transmembrane transporter activity
P:GO:0055085,P:transmembrane transport
F:GO:0005515,F:protein binding
C:GO:0005576,C:extracellular region
C:GO:0005829,C:cytosol
F:GO:0008379,F:thioredoxin peroxidase activity
C:GO:0009321,C:alkyl hydroperoxide reductase complex
F:GO:0032843,F:hydroperoxide reductase activity
P:GO:0033195,P:response to alkyl hydroperoxide
P:GO:0042744,P:hydrogen peroxide catabolic process
P:GO:0045454,P:cell redox homeostasis
P:GO:0055114,P:oxidation-reduction process
P:GO:0098869,P:cellular oxidant detoxification
P:GO:0000302,P:response to reactive oxygen species
C:GO:0005829,C:cytosol
F:GO:0008785,F:alkyl hydroperoxide reductase activity
F:GO:0009055,F:electron transfer activity
F:GO:0015035,F:protein disulfide oxidoreductase activity
C:GO:0016020,C:membrane
P:GO:0022900,P:electron transport chain
P:GO:0045454,P:cell redox homeostasis
F:GO:0051287,F:NAD binding
F:GO:0071949,F:FAD binding
F:GO:0005525,F:GTP binding
C:GO:0005886,C:plasma membrane
P:GO:0006183,P:GTP biosynthetic process
P:GO:0006754,P:ATP biosynthetic process
F:GO:0008976,F:polyphosphate kinase activity
P:GO:0030808,P:regulation of nucleotide biosynthetic process
F:GO:0042802,F:identical protein binding
P:GO:0044121,P:growth of symbiont in host organelle
P:GO:0046777,P:protein autophosphorylation
F:GO:0019239,F:deaminase activity
F:GO:0046872,F:metal ion binding
F:GO:0102127,F:8-oxoguanine deaminase activity
C:GO:0005737,C:cytoplasm
P:GO:0019363,P:pyridine nucleotide biosynthetic process
P:GO:0043094,P:cellular metabolic compound salvage
P:GO:0046135,P:pyrimidine nucleoside catabolic process
F:GO:0050263,F:ribosylpyrimidine nucleosidase activity
C:GO:0005634,C:nucleus
C:GO:0005737,C:cytoplasm
C:GO:0005829,C:cytosol
F:GO:0050144,F:nucleoside deoxyribosyltransferase activity
P:GO:0055086,P:nucleobase-containing small molecule metabolic process
C:GO:0005634,C:nucleus
C:GO:0005737,C:cytoplasm
C:GO:0005829,C:cytosol
F:GO:0050144,F:nucleoside deoxyribosyltransferase activity
P:GO:0055086,P:nucleobase-containing small molecule metabolic process
P:GO:0009987,P:cellular process
C:GO:0012505,C:endomembrane system
