id_ccbh,seq_name,description,length
PA4851_00265,|PA4851_00265||hypothetical|,Y1124_NEIMBPutative lipoprotein NMB1124/NMB1162 OS=Neisseria meningitidis serogroup B (strain MC58) OX=122586 GN=NMB1124 PE=1 SV=1,169
PA4851_00270,|PA4851_00270||transcriptional|,YQAE_BACSUUncharacterized HTH-type transcriptional regulator YqaE OS=Bacillus subtilis (strain 168) OX=224308 GN=yqaE PE=4 SV=1,127
PA4851_00275,|PA4851_00275||hypothetical|,Y049_PSEAEUncharacterized protein PA0049 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA0049 PE=1 SV=1,553
PA4851_00280,|PA4851_00280||hypothetical|,---NA---,46
PA4851_00285,|PA4851_00285||phenazine-modifying|,ASNO_BACSUAsparagine synthetase,610
PA4851_00290,|PA4851_00290||hypothetical|,---NA---,142
PA4851_00295,|PA4851_00295||RNA|,KPTA_PSEAEProbable RNA 2'-phosphotransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=kptA PE=3 SV=1,182
PA4851_00300,|PA4851_00300||hypothetical|,---NA---,168
PA4851_00305,|PA4851_00305||transcriptional|,LYSRL_PSEABHTH-type transcriptional repressor PA14_22550 OS=Pseudomonas aeruginosa (strain UCBPP-PA14) OX=208963 GN=PA14_22550 PE=4 SV=2,306
PA4851_00310,|PA4851_00310||hypothetical|,BLAB_BACFGMetallo-beta-lactamase type 2 OS=Bacteroides fragilis OX=817 GN=ccrA PE=1 SV=1,295
PA4851_00315,|PA4851_00315||hypothetical|,---NA---,234
PA4851_00320,|PA4851_00320||osmotically|,OSMC_SHIFLPeroxiredoxin OsmC OS=Shigella flexneri OX=623 GN=osmC PE=3 SV=2,151
PA4851_00325,|PA4851_00325||hypothetical|,YNFD_ECOLIUncharacterized protein YnfD OS=Escherichia coli (strain K12) OX=83333 GN=ynfD PE=1 SV=2,77
PA4851_00330,|PA4851_00330||hypothetical|,---NA---,145
PA4851_00335,|PA4851_00335||hypothetical|,---NA---,138
PA4851_00340,|PA4851_00340||hypothetical|,---NA---,375
PA4851_00345,|PA4851_00345||hypothetical|,---NA---,327
PA4851_00350,|PA4851_00350||5_-nucleotidase||COORDINATES_|,5NTD_PSEAE5'-nucleotidase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA0065 PE=1 SV=1,221
PA4851_00355,|PA4851_00355||hypothetical|,YRDA_SHIFLProtein YrdA OS=Shigella flexneri OX=623 GN=yrdA PE=3 SV=1,180
PA4851_00360,|PA4851_00360||oligopeptidase|,OPDA_ECOLIOligopeptidase A OS=Escherichia coli (strain K12) OX=83333 GN=prlC PE=3 SV=3,681
PA4851_00365,|PA4851_00365||hypothetical|,YHEV_ECOLIUncharacterized protein YheV OS=Escherichia coli (strain K12) OX=83333 GN=yheV PE=4 SV=1,91
PA4851_00370,|PA4851_00370||hypothetical|,Y2609_MYCBOUncharacterized protein Mb2609c OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=BQ2027_MB2609C PE=4 SV=1,352
PA4851_00375,|PA4851_00375||hypothetical|,---NA---,304
PA4851_00380,|PA4851_00380||hypothetical|,SUMF1_BOVINFormylglycine-generating enzyme OS=Bos taurus OX=9913 GN=SUMF1 PE=2 SV=1,570
PA4851_00385,|PA4851_00385||hypothetical|,---NA---,399
PA4851_00390,|PA4851_00390||ABC|,LOLD2_CHLL7Lipoprotein-releasing system ATP-binding protein LolD 2 OS=Chlorobium luteolum (strain DSM 273 / 2530) OX=319225 GN=lolD2 PE=3 SV=1,239
PA4851_00395,|PA4851_00395||serine/threonine|,PKN1_CALS4Probable serine/threonine-protein kinase Sps1 OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=sps1 PE=3 SV=1,1032
PA4851_00400,|PA4851_00400||serine/threonine|,PRPC_BACSUProtein phosphatase PrpC OS=Bacillus subtilis (strain 168) OX=224308 GN=prpC PE=1 SV=1,242
PA4851_00405,|PA4851_00405||hypothetical|,---NA---,226
PA4851_00410,|PA4851_00410||type|,---NA---,1102
PA4851_00415,|PA4851_00415||hypothetical|,MOTB_BACSUMotility protein B OS=Bacillus subtilis (strain 168) OX=224308 GN=motB PE=3 SV=1,449
PA4851_00420,|PA4851_00420||hypothetical|,---NA---,444
PA4851_00425,|PA4851_00425||hypothetical|,---NA---,154
PA4851_00430,|PA4851_00430||Fha|,---NA---,493
PA4851_00435,|PA4851_00435||hypothetical|,---NA---,344
PA4851_00440,|PA4851_00440||hypothetical|,---NA---,172
PA4851_00445,|PA4851_00445||hypothetical|,---NA---,498
PA4851_00450,|PA4851_00450||protein|,HCP1_PSEAEProtein hcp1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=hcp1 PE=1 SV=1,162
PA4851_00455,|PA4851_00455||hypothetical|,---NA---,281
PA4851_00460,|PA4851_00460||hypothetical|,---NA---,169
PA4851_00465,|PA4851_00465||hypothetical|,---NA---,619
PA4851_00470,|PA4851_00470||hypothetical|,---NA---,348
PA4851_00475,|PA4851_00475||secretion|,CLPV1_PSEAEProtein ClpV1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=clpV1 PE=1 SV=1,902
PA4851_00480,|PA4851_00480||type|,VGRGB_DICD3Putative type VI secretion system protein VgrGB OS=Dickeya dadantii (strain 3937) OX=198628 GN=vgrGB PE=4 SV=1,643
PA4851_00485,|PA4851_00485||hypothetical|,---NA---,94
PA4851_00490,|PA4851_00490||hypothetical|,RHSB_DICD3Probable deoxyribonuclease RhsB OS=Dickeya dadantii (strain 3937) OX=198628 GN=rhsB PE=1 SV=1,430
PA4851_00495,|PA4851_00495||hypothetical|,---NA---,144
PA4851_00500,|PA4851_00500||hypothetical|,VGRGB_DICD3Putative type VI secretion system protein VgrGB OS=Dickeya dadantii (strain 3937) OX=198628 GN=vgrGB PE=4 SV=1,741
PA4851_00505,|PA4851_00505||hypothetical|,---NA---,149
PA4851_00510,|PA4851_00510||hypothetical|,---NA---,399
PA4851_00515,|PA4851_00515||3-oxoacyl-ACP|,---NA---,345
PA4851_00520,|PA4851_00520||DUF4150|,---NA---,246
PA4851_00525,|PA4851_00525||hypothetical|,---NA---,304
PA4851_00530,|PA4851_00530||hypothetical|,---NA---,441
PA4851_00535,|PA4851_00535||carbonic|,CYNT_ECOLICarbonic anhydrase 1 OS=Escherichia coli (strain K12) OX=83333 GN=cynT PE=1 SV=1,242
PA4851_00540,|PA4851_00540||sulfate|,YVDB_BACSUPutative sulfate transporter YvdB OS=Bacillus subtilis (strain 168) OX=224308 GN=yvdB PE=3 SV=1,523
PA4851_00545,|PA4851_00545||hypothetical|,---NA---,198
PA4851_00550,|PA4851_00550||cytochrome|,COX2_RICBRProbable cytochrome c oxidase subunit 2 OS=Rickettsia bellii (strain RML369-C) OX=336407 GN=ctaC PE=3 SV=1,374
PA4851_00555,|PA4851_00555||cytochrome|,COX1_BRADUCytochrome c oxidase subunit 1 OS=Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110) OX=224911 GN=ctaD PE=2 SV=1,530
PA4851_00560,|PA4851_00560||cytochrome|,COXZ_SINFNCytochrome c oxidase assembly protein CtaG OS=Sinorhizobium fredii (strain NBRC 101917 / NGR234) OX=394 GN=ctaG PE=3 SV=1,184
PA4851_00565,|PA4851_00565||cytochrome|,COX3_PARDECytochrome c oxidase subunit 3 OS=Paracoccus denitrificans OX=266 GN=ctaE PE=1 SV=3,295
PA4851_00570,|PA4851_00570||hypothetical|,---NA---,69
PA4851_00575,|PA4851_00575||hypothetical|,SHY1_YEASTCytochrome oxidase assembly protein SHY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SHY1 PE=1 SV=1,264
PA4851_00580,|PA4851_00580||hypothetical|,---NA---,192
PA4851_00585,|PA4851_00585||hypothetical|,CTAA_AGRVSHeme A synthase OS=Agrobacterium vitis (strain S4 / ATCC BAA-846) OX=311402 GN=ctaA PE=3 SV=1,357
PA4851_00590,|PA4851_00590||protoheme|,CYOE1_PSEAEProtoheme IX farnesyltransferase 1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=cyoE1 PE=3 SV=1,304
PA4851_00595,|PA4851_00595||cytochrome|,SCOP_PSESTPutative copper-binding protein OS=Pseudomonas stutzeri OX=316 GN=scoP PE=3 SV=2,211
PA4851_00600,|PA4851_00600||hypothetical|,ELAA_SHIFLProtein ElaA OS=Shigella flexneri OX=623 GN=elaA PE=3 SV=1,150
PA4851_00605,|PA4851_00605||hypothetical|,Y3122_MYCBOUncharacterized HTH-type transcriptional regulator Mb3122 OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=BQ2027_MB3122 PE=4 SV=1,157
PA4851_00610,|PA4851_00610||short-chain|,CBR4_BOVINCarbonyl reductase family member 4 OS=Bos taurus OX=9913 GN=CBR4 PE=2 SV=1,242
PA4851_00615,|PA4851_00615||hypothetical|,NSAD_SPHXE2-hydroxychromene-2-carboxylate isomerase OS=Sphingobium xenophagum OX=121428 GN=nsaD PE=1 SV=1,195
PA4851_00620,|PA4851_00620||C4-dicarboxylate|,DCTA1_PSEAEC4-dicarboxylate transport protein 1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=dctA1 PE=3 SV=1,449
PA4851_00625,|PA4851_00625||transcriptional|,LLDR_SHIFLPutative L-lactate dehydrogenase operon regulatory protein OS=Shigella flexneri OX=623 GN=lldR PE=3 SV=1,228
PA4851_00630,|PA4851_00630||hypothetical|,YIN1_STRAMUncharacterized HTH-type transcriptional regulator in unstable DNA locus OS=Streptomyces ambofaciens OX=1889 PE=4 SV=1,244
PA4851_00635,|PA4851_00635||hypothetical|,ASPH_ASPFUAsp-hemolysin OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=AFUA_3G00590 PE=2 SV=2,136
PA4851_00640,|PA4851_00640||transcriptional|,AAER_ECOLIHTH-type transcriptional activator AaeR OS=Escherichia coli (strain K12) OX=83333 GN=aaeR PE=4 SV=1,302
PA4851_00645,|PA4851_00645||hypothetical|,---NA---,93
PA4851_00650,|PA4851_00650||hypothetical|,PARD2_CAUVCOrphan antitoxin ParD2 OS=Caulobacter vibrioides (strain ATCC 19089 / CB15) OX=190650 GN=parD2 PE=4 SV=1,75
PA4851_00655,|PA4851_00655||hypothetical|,---NA---,206
PA4851_00660,|PA4851_00660||hypothetical|,---NA---,166
PA4851_00665,|PA4851_00665||hypothetical|,PHNA_SHIFLProtein PhnA OS=Shigella flexneri OX=623 GN=phnA PE=4 SV=1,113
PA4851_00670,|PA4851_00670||gamma-aminobutyrate|,BAUD_PSEAEProbable GABA permease OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=bauD PE=2 SV=1,475
PA4851_00675,|PA4851_00675||3-oxopropanoate|,BAUC_PSEAEPutative 3-oxopropanoate dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=bauC PE=2 SV=1,497
PA4851_00680,|PA4851_00680||beta-alanine|,BAUB_PSEAEBeta-alanine degradation protein BauB OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=bauB PE=2 SV=1,95
PA4851_00685,|PA4851_00685||beta|,BAUA_PSEAEBeta-alanine--pyruvate aminotransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=bauA PE=1 SV=1,448
PA4851_00690,|PA4851_00690||HTH-type|,BAUR_PSEAEHTH-type transcriptional activator BauR OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=bauR PE=4 SV=1,305
PA4851_00695,|PA4851_00695||guanine|,GUAD_ECOLIGuanine deaminase OS=Escherichia coli (strain K12) OX=83333 GN=guaD PE=1 SV=1,456
PA4851_00700,|PA4851_00700||hypothetical|,---NA---,46
PA4851_00705,|PA4851_00705||ABC|,YUFO_BACSUUncharacterized ABC transporter ATP-binding protein YufO OS=Bacillus subtilis (strain 168) OX=224308 GN=yufO PE=3 SV=1,523
PA4851_00710,|PA4851_00710||ABC|,TSGBD_HALVDGlucose ABC transporter permease protein TsgB13 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=tsgB13 PE=3 SV=1,365
PA4851_00715,|PA4851_00715||ABC|,TSGCD_HALVDPutative glucose ABC transporter permease protein TsgC13 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=tsgC13 PE=3 SV=1,308
PA4851_00720,|PA4851_00720||alkyl|,AHPC_PSEABAlkyl hydroperoxide reductase C OS=Pseudomonas aeruginosa (strain UCBPP-PA14) OX=208963 GN=ahpC PE=1 SV=1,187
PA4851_00725,|PA4851_00725||alkyl|,AHPF_PSEAEAlkyl hydroperoxide reductase subunit F OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=ahpF PE=3 SV=1,521
PA4851_00730,|PA4851_00730||hypothetical|,PK21A_PSEAEPolyphosphate:ADP/GDP phosphotransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=ppk2 PE=1 SV=2,298
PA4851_00735,|PA4851_00735||8-oxoguanine|,OXODE_PSEAE8-oxoguanine deaminase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA0142 PE=1 SV=1,449
PA4851_00740,|PA4851_00740||nonspecific|,RIHA_SALG2Pyrimidine-specific ribonucleoside hydrolase RihA OS=Salmonella gallinarum (strain 287/91 / NCTC 13346) OX=550538 GN=rihA PE=3 SV=1,350
PA4851_00745,|PA4851_00745||hypothetical|,YQ65_SCHPOUncharacterized protein C191.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC191.05c PE=3 SV=1,208
PA4851_00750,|PA4851_00750||hypothetical|,YQ65_SCHPOUncharacterized protein C191.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC191.05c PE=3 SV=1,171
PA4851_00755,|PA4851_00755||hypothetical|,PBP_BRUA2Purine-binding protein BAB2_0673 OS=Brucella abortus (strain 2308) OX=359391 GN=BAB2_0673 PE=1 SV=1,365
PA4851_00760,|PA4851_00760||oxidoreductase||COORDINATES_|,HXNY_EMENI2-oxoglutarate-Fe(II) type oxidoreductase hxnY OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=hxnY PE=2 SV=1,320
PA4851_00765,|PA4851_00765||adenosine|,ADE_PSEAEAdenine deaminase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA0148 PE=1 SV=1,316
PA4851_00770,|PA4851_00770||ECF|,FECI_ECOLIProbable RNA polymerase sigma factor FecI OS=Escherichia coli (strain K12) OX=83333 GN=fecI PE=1 SV=3,181
PA4851_00775,|PA4851_00775||transmembrane|,FECR_ECOLIProtein FecR OS=Escherichia coli (strain K12) OX=83333 GN=fecR PE=2 SV=1,331
PA4851_00780,|PA4851_00780||TonB-dependent|,PUPB_PSEPUFerric-pseudobactin BN7/BN8 receptor OS=Pseudomonas putida OX=303 GN=pupB PE=2 SV=1,795
